question,correct_sql,generated_sql,execution_accuracy,schema_linking_accuracy,executed_successfully,retry_needed,retry_count,row_count,workflow_nodes,final_answer_preview
Get all customers,SELECT * FROM customers,"SELECT ""customerNumber"", ""customerName"", ""contactLastName"", ""contactFirstName"", ""phone"", ""addressLine1"", ""addressLine2"", ""city"", ""state"", ""postalCode"", ""country"", ""salesRepEmployeeNumber"", ""creditLimit"" FROM customers LIMIT 100",1.0,0.5,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
List all employees,SELECT * FROM employees,"SELECT ""employeeNumber"", ""lastName"", ""firstName"", ""extension"", ""email"", ""officeCode"", ""reportsTo"", ""jobTitle"" 
FROM employees 
ORDER BY ""employeeNumber"" 
LIMIT 100",1.0,0.5,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
Get all offices,SELECT * FROM offices,"SELECT ""officeCode"", ""city"", ""phone"", ""addressLine1"", ""addressLine2"", ""state"", ""country"", ""postalCode"", ""territory"" FROM offices LIMIT 100",1.0,0.5,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
Show all product lines,SELECT * FROM productlines,"SELECT ""productLine"", ""textDescription"", ""htmlDescription"", ""image"" FROM productlines LIMIT 100",1.0,0.5,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
Get customer names and cities,"SELECT ""customerName"", ""city"" FROM customers","SELECT ""customerName"", ""city"" 
FROM customers 
ORDER BY ""customerName"" 
LIMIT 100",1.0,1.0,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
List employee first and last names,"SELECT ""firstName"", ""lastName"" FROM employees","SELECT ""firstName"", ""lastName"" FROM employees LIMIT 100",1.0,1.0,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
Get all order dates,"SELECT ""orderDate"" FROM orders","SELECT ""orderDate"" FROM orders LIMIT 100",1.0,1.0,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
Show product vendor list,"SELECT DISTINCT ""productVendor"" FROM products","SELECT DISTINCT ""productVendor"" FROM products LIMIT 100",1.0,1.0,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
Get all product codes,"SELECT ""productCode"" FROM products","SELECT ""productCode"" FROM products LIMIT 100",1.0,1.0,Yes,No,0,2,planner -> sql_generator -> validator -> executor -> summarizer,
List all countries from offices,"SELECT DISTINCT ""country"" FROM offices","SELECT DISTINCT ""country"" FROM offices LIMIT 100",1.0,1.0,Yes,No,0,1,planner -> sql_generator -> validator -> executor -> summarizer,
