question,correct_sql
List all products,"SELECT * FROM products"
Get all customers,"SELECT * FROM customers"
Show all orders,"SELECT * FROM orders"
List all employees,"SELECT * FROM employees"
Get all offices,"SELECT * FROM offices"
Show all product lines,"SELECT * FROM productlines"
List all payments,"SELECT * FROM payments"
Get product names and prices,"SELECT ""productName"", ""buyPrice"" FROM products"
Get customer names and cities,"SELECT ""customerName"", ""city"" FROM customers"
List employee first and last names,"SELECT ""firstName"", ""lastName"" FROM employees"
Get all order dates,"SELECT ""orderDate"" FROM orders"
Show product vendor list,"SELECT DISTINCT ""productVendor"" FROM products"
Get all product codes,"SELECT ""productCode"" FROM products"
List all countries from offices,"SELECT DISTINCT ""country"" FROM offices"
Show all order statuses,"SELECT DISTINCT ""status"" FROM orders"
Get all payment amounts,"SELECT ""amount"" FROM payments"
List all job titles,"SELECT DISTINCT ""jobTitle"" FROM employees"
Get customer phone numbers,"SELECT ""phone"" FROM customers"
Show product MSRP values,"SELECT ""MSRP"" FROM products"
List order numbers,"SELECT ""orderNumber"" FROM orders"
Get orders with customer names,"SELECT o.*, c.""customerName"" FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"""
Get employees with office city,"SELECT e.*, o.""city"" AS ""officeCity"" FROM employees e JOIN offices o ON e.""officeCode"" = o.""officeCode"""
Get payments with customer names,"SELECT p.*, c.""customerName"" FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"""
Get order details with product names,"SELECT od.*, pr.""productName"" FROM orderdetails od JOIN products pr ON od.""productCode"" = pr.""productCode"""
Get products with product line description,"SELECT p.*, pl.""textDescription"" FROM products p JOIN productlines pl ON p.""productLine"" = pl.""productLine"""
Get customers with sales rep names,"SELECT c.*, e.""firstName"" AS ""salesRepFirstName"", e.""lastName"" AS ""salesRepLastName"" FROM customers c LEFT JOIN employees e ON c.""salesRepEmployeeNumber"" = e.""employeeNumber"""
Get orders with customer city,"SELECT o.*, c.""city"" AS ""customerCity"" FROM orders o JOIN customers c ON o.""customerNumber"" = c.""customerNumber"""
Get employees and their manager,"SELECT e.""employeeNumber"", e.""firstName"", e.""lastName"", m.""firstName"" AS ""managerFirstName"", m.""lastName"" AS ""managerLastName"" FROM employees e LEFT JOIN employees m ON e.""reportsTo"" = m.""employeeNumber"""
Get orderdetails with product vendor,"SELECT od.*, p.""productVendor"" FROM orderdetails od JOIN products p ON od.""productCode"" = p.""productCode"""
Get payments with customer country,"SELECT p.*, c.""country"" FROM payments p JOIN customers c ON p.""customerNumber"" = c.""customerNumber"""
Count customers per country,"SELECT ""country"", COUNT(*) AS ""customerCount"" FROM customers GROUP BY ""country"""
Total payments per customer,"SELECT ""customerNumber"", SUM(""amount"") AS ""totalPayments"" FROM payments GROUP BY ""customerNumber"""
Number of orders per status,"SELECT ""status"", COUNT(*) AS ""orderCount"" FROM orders GROUP BY ""status"""
Products per product line,"SELECT ""productLine"", COUNT(*) AS ""productCount"" FROM products GROUP BY ""productLine"""
Employees per office,"SELECT ""officeCode"", COUNT(*) AS ""employeeCount"" FROM employees GROUP BY ""officeCode"""
Total stock per product vendor,"SELECT ""productVendor"", SUM(""quantityInStock"") AS ""totalStock"" FROM products GROUP BY ""productVendor"""
Average buy price per product line,"SELECT ""productLine"", AVG(""buyPrice"") AS ""avgBuyPrice"" FROM products GROUP BY ""productLine"""
Orders per customer,"SELECT ""customerNumber"", COUNT(*) AS ""orderCount"" FROM orders GROUP BY ""customerNumber"""
Max MSRP per product line,"SELECT ""productLine"", MAX(""MSRP"") AS ""maxMSRP"" FROM products GROUP BY ""productLine"""
Min buy price per vendor,"SELECT ""productVendor"", MIN(""buyPrice"") AS ""minBuyPrice"" FROM products GROUP BY ""productVendor"""
Total number of customers,"SELECT COUNT(*) AS ""totalCustomers"" FROM customers"
Total number of products,"SELECT COUNT(*) AS ""totalProducts"" FROM products"
Total revenue from payments,"SELECT SUM(""amount"") AS ""totalRevenue"" FROM payments"
Average product price,"SELECT AVG(""buyPrice"") AS ""avgProductPrice"" FROM products"
Max payment amount,"SELECT MAX(""amount"") AS ""maxPayment"" FROM payments"
Min payment amount,"SELECT MIN(""amount"") AS ""minPayment"" FROM payments"
Count total orders,"SELECT COUNT(*) AS ""totalOrders"" FROM orders"
Total quantity in stock,"SELECT SUM(""quantityInStock"") AS ""totalQuantityInStock"" FROM products"
Average MSRP,"SELECT AVG(""MSRP"") AS ""avgMSRP"" FROM products"
Number of employees,"SELECT COUNT(*) AS ""totalEmployees"" FROM employees"
